laptop_ID;Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram(GB);Memory;Gpu;OpSys;Weight;Price_euros
317;MSI;GE63VR 7RF;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8kg;209900
318;Acer;ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10);Notebook;156;Full HD 1920x1080;AMD A8-Series 7410 2.2GHz;8;256GB SSD;AMD Radeon R5;Windows 10;2.23kg;46900
319;Asus;VivoBook Flip;2 in 1 Convertible;116;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;2;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.1kg;27500
320;Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.33kg;84400
321;HP;Spectre x360;2 in 1 Convertible;133;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;1TB SSD;Intel UHD Graphics 620;Windows 10;1.29kg;244900
322;Lenovo;ThinkPad 13;Notebook;133;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4;16GB Flash Storage;Intel HD Graphics 510;Chrome OS;1.45kg;45990
323;HP;ProBook 640;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;98000
324;Acer;TravelMate B;Notebook;116;1366x768;Intel Pentium Quad Core N3710 1.6GHz;4;128GB Flash Storage;Intel HD Graphics 405;Windows 10;1.4kg;48500
325;HP;Elitebook 840;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;129200
326;Lenovo;IdeaPad 320-17IKB;Notebook;173;1600x900;Intel Core i5 7200U 2.5GHz;4;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.79kg;58900
327;Asus;ZenBook UX410UA-GV183T;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2kg;109400
329;HP;ProBook 450;Notebook;156;IPS Panel Full HD 1366x768;Intel Core i7 8550U 1.8GHz;8;1TB HDD;Intel UHD Graphics 620;Windows 10;2.1kg;90200
330;Acer;Aspire 5;Notebook;156;1366x768;AMD A12-Series 9720P 2.7GHz;8;256GB SSD;AMD Radeon RX 540;Windows 10;2.2kg;65900
331;Lenovo;IdeaPad 120S-14IAP;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.44kg;29200
332;Acer;Aspire E5-575;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;6;1TB HDD;Intel HD Graphics 620;Windows 10;2.23kg;54900
333;Asus;VivoBook S15;Ultrabook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7kg;104990
334;HP;Elitebook 820;Ultrabook;125;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.26kg;133500
335;Dell;XPS 15;Notebook;156;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;32;1TB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;263900
336;MSI;GL72M 7REX;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;119900
337;Toshiba;Satellite Pro;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2.0kg;94300
338;Asus;UX510UX-CN269T (i7-7500U/8GB/256GB;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD +  1TB HDD;Intel HD Graphics 620;Windows 10;2kg;133400
339;Lenovo;V310-15ISK (i3-6006U/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;Intel HD Graphics 520;Windows 10;1.85kg;44900
340;Asus;FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;99900
341;HP;EliteBook 840;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;126800
342;Dell;Inspiron 7570;Ultrabook;156;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;1.9kg;104900
343;HP;Elitebook 850;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.84kg;114400
344;Asus;X541NA (N3350/4GB/1TB/Linux);Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1TB HDD;Intel HD Graphics 500;Linux;2kg;27499
345;Dell;Inspiron 7570;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;2kg;114275
346;Dell;Inspiron 3552;Notebook;156;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;500GB HDD;Intel HD Graphics;Linux;2.2kg;27490
347;Lenovo;IdeaPad 320-15ABR;Notebook;156;Full HD 1920x1080;AMD A12-Series 9720P 3.6GHz;12;2TB HDD;AMD Radeon 530;Windows 10;2.2kg;89900
348;HP;ProBook 450;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8;1TB HDD;Nvidia GeForce 930MX ;Windows 10;2.1kg;71600
349;Lenovo;Yoga 920-13IKB;2 in 1 Convertible;139;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Intel UHD Graphics 620;Windows 10;1.4kg;209900
350;Dell;XPS 13;Ultrabook;133;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;157900
351;Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.4kg;112900
352;HP;Stream 14-AX001nv;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;2;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.44kg;27900
353;Dell;Latitude 5590;Ultrabook;156;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;16;512GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1.88kg;160796
354;Asus;VivoBook Flip;2 in 1 Convertible;116;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;37500
355;Dell;Inspiron 5570;Ultrabook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1TB HDD;AMD Radeon 530;Windows 10;1.9kg;66300
356;Dell;XPS 15;Notebook;156;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;202742
357;HP;Elitebook 850;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.84kg;130400
358;MSI;GP72MVR 7RFX;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;140900
359;HP;Zbook 15;Workstation;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;2.6kg;173827
360;Toshiba;Tecra A50-C-21G;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Nvidia GeForce 930M;Windows 10;2.4kg;140300
361;Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;128GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02kg;97090
362;Lenovo;IdeaPad 320-15IAP;Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1TB HDD;Intel HD Graphics 500;No OS;2.2kg;32199
363;Dell;Inspiron 7577;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.65kg;99900
364;Dell;Inspiron 3567;Notebook;156;Touchscreen 1366x768;Intel Core i5 7200U 2.5GHz;8;2TB HDD;Intel HD Graphics 620;Windows 10;2.36kg;55737
365;Dell;Latitude 7480;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;142700
366;HP;250 G6;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;1.86kg;43900
367;Asus;Zenbook UX410UA-GV027T;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2kg;94500
368;Lenovo;IdeaPad 320-17IKB;Notebook;173;1600x900;Intel Core i5 7200U 2.5GHz;6;128GB SSD +  1TB HDD;Nvidia GeForce GTX 940MX;Windows 10;2.8kg;71900
369;HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Intel HD Graphics 620;Windows 10;1.86kg;63900
370;Lenovo;IdeaPad 320-15ISK;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;8;256GB SSD;Nvidia GeForce 920MX ;No OS;2.2kg;49900
371;HP;15-AY023na (N3710/8GB/2TB/W10);Notebook;156;1366x768;Intel Pentium Quad Core N3710 1.6GHz;8;2TB HDD;Intel HD Graphics 405;Windows 10;2.04kg;38900
372;Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8kg;108500
373;Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;No OS;2.4kg;80900
374;Dell;Inspiron 5567;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;AMD Radeon R7 M445;Windows 10;2.33kg;89900
375;HP;Elitebook 1040;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;175000
376;Asus;ZenBook Flip;2 in 1 Convertible;156;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12;512GB SSD +  2TB HDD;Nvidia GeForce GT 940MX;Windows 10;2.26kg;109900
377;Acer;Aspire 3;Notebook;156;1366x768;AMD A9-Series 9420 3GHz;4;128GB SSD;AMD Radeon R5;Windows 10;2.1kg;42600
378;Asus;Rog Strix;Gaming;173;IPS Panel Full HD 1920x1080;AMD Ryzen 1700 3GHz;16;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.25kg;219900
379;Lenovo;IdeaPad 110-17ACL;Notebook;173;1600x900;AMD A8-Series 7410 2.2GHz;4;128GB SSD;AMD Radeon R5;Windows 10;2.6kg;48900
380;Dell;Inspiron 5379;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.62kg;86901
381;HP;15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10);Notebook;156;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4;256GB SSD;AMD Radeon R5;Windows 10;1.91kg;48899
382;Lenovo;Yoga 11e;Netbook;116;IPS Panel 1366x768;Intel Celeron Quad Core N3450 1.1GHz;4;128GB SSD;Intel HD Graphics 500;Windows 10;1.59kg;55300
383;Dell;Inspiron 3552;Notebook;156;1366x768;Intel Celeron Dual Core N3060 1.60GHz;4;500GB HDD;Intel HD Graphics 400;Windows 10;1.8kg;30900
384;Asus;VivoBook E403NA;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;28600
385;Acer;Aspire 7;Notebook;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4kg;84600
386;HP;Omen 17-w212nv;Gaming;173;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3.35kg;119100
387;Lenovo;V310-15ISK (i3-6006U/4GB/128GB/FHD/No;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;128GB SSD;Intel HD Graphics 520;No OS;1.85kg;40350
388;Asus;ROG Strix;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.3kg;165500
389;Lenovo;IdeaPad 720S-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.5kg;109900
390;Asus;Zenbook Flip;Ultrabook;133;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;174890
391;Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1.13kg;228200
392;Lenovo;Ideapad 510S-13IKB;Notebook;133;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10;1.5kg;54900
393;Dell;Precision 3510;Workstation;156;Full HD 1920x1080;Intel Core i5 6440HQ 2.6GHz;8;500GB HDD;AMD FirePro W5130M;Windows 10;2.23kg;136900
394;Dell;Precision 5520;Workstation;156;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;2kg;213500
395;Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1.42kg;250900
396;Asus;Rog GL753VD-GC042T;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3kg;103900
397;Asus;Rog GL753VE-GC070T;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;3kg;159100
399;Acer;Aspire 5;Notebook;156;IPS Panel 1366x768;Intel Core i5 8250U 1.6GHz;12;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2kg;69399
400;MSI;Leopard GP72M;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;134900
401;Dell;Inspiron 5567;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;AMD Radeon R7 M445;Linux;2.33kg;77887
402;HP;15-BW004nv (A9-9420/4GB/256GB/Radeon;Ultrabook;156;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4;256GB SSD;AMD Radeon 520;Windows 10;1.91kg;49900
403;Lenovo;ThinkPad E580;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon RX 550;Windows 10;2.1kg;122956
404;Lenovo;ThinkPad L470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;93800
405;Dell;Precision M5520;Workstation;156;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;1.78kg;271200
406;Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;16;1TB SSD;Intel HD Graphics 620;Windows 10;1.13kg;262500
407;Lenovo;IdeaPad 320-15IAP;Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1TB HDD;Intel HD Graphics 500;Windows 10;2.2kg;30600
408;Asus;FX753VD-GC461T (i7-7700HQ/16GB/1TB;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.9kg;152900
409;Lenovo;ThinkPad E580;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD +  1TB HDD;AMD Radeon RX 550;Windows 10;2.1kg;114450
410;Acer;Aspire 7;Notebook;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Linux;2.5kg;87900
411;MSI;GE73VR 7RF;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8kg;224900
412;Asus;Zenbook 3;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1.10kg;187300
413;Toshiba;Portege Z30-C-16P;Ultrabook;133;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;174700
414;Dell;Latitude 7480;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8;512GB SSD;Intel HD Graphics;Windows 10;1.36kg;168000
415;Lenovo;IdeaPad 320-15ISK;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;2.2kg;40900
416;Lenovo;Lenovo IdeaPad;Notebook;116;1366x768;Intel Celeron Dual Core N3350 1.1GHz;2;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.15kg;30445
417;Lenovo;ThinkPad P51;Workstation;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;512GB SSD;Nvidia Quadro M1200;Windows 10;2.67kg;192500
418;Lenovo;Thinkpad T470p;Ultrabook;14;IPS Panel Full HD 2560x1440;Intel Core i7 7700HQ 2.8GHz;8;512GB SSD;Nvidia GeForce GT 940MX;Windows 10;1.7kg;194300
419;HP;15-BS028nv (i3-6006U/4GB/1TB/Radeon;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;AMD Radeon 520;Windows 10;2.1kg;46900
420;Acer;Aspire R7;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1.6kg;78901
421;Asus;ZenBook Flip;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.27kg;92800
422;Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;AMD Radeon R5 M430;Linux;2.3kg;59890
423;Dell;Latitude 3380;Notebook;133;1366x768;Intel Core i3 6006U 2GHz;4;128GB SSD;Intel HD Graphics 520;Windows 10;1.65kg;68900
424;HP;EliteBook 1040;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1.43kg;150000
425;Dell;Inspiron 3567;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Intel HD Graphics 620;Windows 10;2.14kg;53995
426;Lenovo;ThinkPad E480;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon RX 550;Windows 10;1.75kg;121538
427;Lenovo;Yoga 720-15IKB;2 in 1 Convertible;156;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2kg;189900
428;Chuwi;LapBook 12.3;Notebook;123;IPS Panel Retina Display 2736x1824;Intel Celeron Quad Core N3450 1.1GHz;6;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.4kg;44900
429;HP;ProBook 650;Notebook;156;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;8;256GB SSD;Intel HD Graphics 630;Windows 10;2.31kg;142700
430;Asus;X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce;Notebook;156;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8;1TB HDD;Nvidia GeForce 940MX;Linux;2.3kg;59700
431;Dell;Alienware 17;Gaming;173;IPS Panel 2560x1440;Intel Core i7 7820HK 2.9GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;279900
432;Dell;Inspiron 7577;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.62kg;115900
433;Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02kg;114240
434;Dell;Latitude 5480;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8;256GB SSD;Intel HD Graphics 620;Linux;1.6kg;109900
435;HP;Omen 17-w207nv;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.35kg;199900
436;Mediacom;FlexBook Edge;2 in 1 Convertible;116;IPS Panel Full HD / Touchscreen 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4;32GB SSD;Intel HD Graphics 500;Windows 10;1.16kg;29900
437;Samsung;Chromebook 3;Netbook;116;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.15kg;26900
438;Lenovo;Thinkpad 13;Notebook;133;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.4kg;101000
439;Lenovo;IdeaPad 320s-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;59900
440;Lenovo;Thinkpad T570;Workstation;156;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7600U 2.8GHz;16;512GB SSD;Nvidia GeForce 940MX;Windows 10;2.3kg;244500
441;Lenovo;Thinkpad P51;Notebook;156;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;16;512GB SSD;Nvidia Quadro M2200M;Windows 10;2.5kg;244900
442;Asus;Rog Strix;Gaming;173;Full HD 1920x1080;AMD Ryzen 1600 3.2GHz;8;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2kg;169500
443;HP;15-ra044nv (N3060/4GB/500GB/W10);Notebook;156;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;500GB HDD;Intel HD Graphics 400;Windows 10;2.1kg;34700
444;Google;Pixelbook (Core;Ultrabook;123;Touchscreen 2400x1600;Intel Core i7 7Y75 1.3GHz;16;512GB SSD;Intel HD Graphics 615;Chrome OS;1.1kg;219900
445;Lenovo;ThinkPad T470s;Ultrabook;14;2560x1440;Intel Core i7 7500U 2.7GHz;24;512GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;238200
446;Asus;VivoBook Max;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Linux;2kg;55900
447;Lenovo;IdeaPad 320-15AST;Notebook;173;1600x900;AMD A6-Series 9220 2.5GHz;8;1TB HDD;AMD Radeon R4;Windows 10;2.8kg;51900
448;Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;74900
449;Lenovo;ThinkPad X270;Ultrabook;125;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;142900
450;Lenovo;IdeaPad 320-15IAP;Notebook;156;Full HD 1920x1080;Intel Pentium Quad Core N4200 1.1GHz;4;128GB SSD;Intel HD Graphics 505;Windows 10;2.2kg;34900
451;HP;Omen 15-AX205na;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;109900
452;Dell;Latitude 5480;Notebook;14;Full HD 1920x1080;Intel Core i5 7440HQ 2.8GHz;8;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64kg;117900
453;Acer;Aspire ES1-572;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;Linux;2.4kg;44180
454;Dell;Precision 3520;Workstation;156;Full HD 1920x1080;Intel Xeon E3-1505M V6 3GHz;8;64GB Flash Storage +  1TB HDD;Nvidia Quadro M620;Windows 10;2.23kg;199300
455;MSI;GV62 7RD-1686NL;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;102774
456;Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel Core i7 7660U 2.5GHz;16;512GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.25kg;258900
457;HP;15-bs024nv (i5-7200U/8GB/128GB/W10);Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;8;128GB SSD;Intel HD Graphics 620;Windows 10;1.91kg;58900
458;Dell;Precision 3520;Workstation;156;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;16;256GB SSD;Nvidia Quadro M620;Windows 10;2.17kg;197500
459;HP;ProBook 650;Workstation;156;IPS Panel Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;2.31kg;153400
460;Lenovo;ThinkPad T470;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.65kg;134500
461;Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.36kg;97900
462;Dell;Inspiron 3168;2 in 1 Convertible;116;Touchscreen 1366x768;Intel Pentium Quad Core N3710 1.6GHz;4;500GB HDD;Intel HD Graphics 405;Windows 10;1.47kg;47900
