Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram(GB);Memory;Gpu;OpSys;Weight (Kg);Price_euros
Acer;Aspire E5-575;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;6;1TB HDD;Intel HD Graphics 620;Windows 10;2.23;54900
Asus;VivoBook S15;Ultrabook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7;104990
HP;Elitebook 820;Ultrabook;125;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.26;133500
Dell;XPS 15;Notebook;156;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;32;1TB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06;263900
MSI;GL72M 7REX;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7;119900
Toshiba;Satellite Pro;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2.0;94300
Asus;UX510UX-CN269T (i7-7500U/8GB/256GB;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD +  1TB HDD;Intel HD Graphics 620;Windows 10;2;133400
Lenovo;V310-15ISK (i3-6006U/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;Intel HD Graphics 520;Windows 10;1.85;44900
Asus;FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.5;99900
HP;EliteBook 840;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.48;126800
Dell;Inspiron 7570;Ultrabook;156;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;1.9;104900
HP;Elitebook 850;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.84;114400
Asus;X541NA (N3350/4GB/1TB/Linux);Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1TB HDD;Intel HD Graphics 500;Linux;2;27499
Dell;Inspiron 7570;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;2;114275
Dell;Inspiron 3552;Notebook;156;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;500GB HDD;Intel HD Graphics;Linux;2.2;27490
Lenovo;IdeaPad 320-15ABR;Notebook;156;Full HD 1920x1080;AMD A12-Series 9720P 3.6GHz;12;2TB HDD;AMD Radeon 530;Windows 10;2.2;89900
HP;ProBook 450;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8;1TB HDD;Nvidia GeForce 930MX ;Windows 10;2.1;71600
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;139;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Intel UHD Graphics 620;Windows 10;1.4;209900
Dell;XPS 13;Ultrabook;133;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2;157900
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.4;112900
HP;Stream 14-AX001nv;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;2;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.44;27900
Dell;Latitude 5590;Ultrabook;156;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;16;512GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1.88;160796
Asus;VivoBook Flip;2 in 1 Convertible;116;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5;37500
Dell;Inspiron 5570;Ultrabook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1TB HDD;AMD Radeon 530;Windows 10;1.9;66300
Dell;XPS 15;Notebook;156;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06;202742
HP;Elitebook 850;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.84;130400
MSI;GP72MVR 7RFX;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7;140900
HP;Zbook 15;Workstation;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;2.6;173827
Toshiba;Tecra A50-C-21G;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Nvidia GeForce 930M;Windows 10;2.4;140300
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;128GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02;97090
Lenovo;IdeaPad 320-15IAP;Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1TB HDD;Intel HD Graphics 500;No OS;2.2;32199
Dell;Inspiron 7577;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.65;99900
Dell;Inspiron 3567;Notebook;156;Touchscreen 1366x768;Intel Core i5 7200U 2.5GHz;8;2TB HDD;Intel HD Graphics 620;Windows 10;2.36;55737
Dell;Latitude 7480;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.36;142700
HP;250 G6;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;1.86;43900
Asus;Zenbook UX410UA-GV027T;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2;94500
Lenovo;IdeaPad 320-17IKB;Notebook;173;1600x900;Intel Core i5 7200U 2.5GHz;6;128GB SSD +  1TB HDD;Nvidia GeForce GTX 940MX;Windows 10;2.8;71900
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Intel HD Graphics 620;Windows 10;1.86;63900
Lenovo;IdeaPad 320-15ISK;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;8;256GB SSD;Nvidia GeForce 920MX ;No OS;2.2;49900
HP;15-AY023na (N3710/8GB/2TB/W10);Notebook;156;1366x768;Intel Pentium Quad Core N3710 1.6GHz;8;2TB HDD;Intel HD Graphics 405;Windows 10;2.04;38900
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8;108500
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;No OS;2.4;80900
Dell;Inspiron 5567;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;AMD Radeon R7 M445;Windows 10;2.33;89900
HP;Elitebook 1040;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.36;175000
Asus;ZenBook Flip;2 in 1 Convertible;156;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12;512GB SSD +  2TB HDD;Nvidia GeForce GT 940MX;Windows 10;2.26;109900
Acer;Aspire 3;Notebook;156;1366x768;AMD A9-Series 9420 3GHz;4;128GB SSD;AMD Radeon R5;Windows 10;2.1;42600
Asus;Rog Strix;Gaming;173;IPS Panel Full HD 1920x1080;AMD Ryzen 1700 3GHz;16;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.25;219900
Lenovo;IdeaPad 110-17ACL;Notebook;173;1600x900;AMD A8-Series 7410 2.2GHz;4;128GB SSD;AMD Radeon R5;Windows 10;2.6;48900
Dell;Inspiron 5379;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.62;86901
HP;15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10);Notebook;156;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4;256GB SSD;AMD Radeon R5;Windows 10;1.91;48899
Lenovo;Yoga 11e;Netbook;116;IPS Panel 1366x768;Intel Celeron Quad Core N3450 1.1GHz;4;128GB SSD;Intel HD Graphics 500;Windows 10;1.59;55300
Dell;Inspiron 3552;Notebook;156;1366x768;Intel Celeron Dual Core N3060 1.60GHz;4;500GB HDD;Intel HD Graphics 400;Windows 10;1.8;30900
Asus;VivoBook E403NA;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5;28600
Acer;Aspire 7;Notebook;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4;84600
HP;Omen 17-w212nv;Gaming;173;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3.35;119100
Lenovo;V310-15ISK (i3-6006U/4GB/128GB/FHD/No;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;128GB SSD;Intel HD Graphics 520;No OS;1.85;40350
Asus;ROG Strix;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.3;165500
Lenovo;IdeaPad 720S-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.5;109900
Asus;Zenbook Flip;Ultrabook;133;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1.1;174890
Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1.13;228200
Lenovo;Ideapad 510S-13IKB;Notebook;133;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10;1.5;54900
Dell;Precision 3510;Workstation;156;Full HD 1920x1080;Intel Core i5 6440HQ 2.6GHz;8;500GB HDD;AMD FirePro W5130M;Windows 10;2.23;136900
Dell;Precision 5520;Workstation;156;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;2;213500
Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1.42;250900
Asus;Rog GL753VD-GC042T;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3;103900
Asus;Rog GL753VE-GC070T;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;3;159100
Acer;Aspire 5;Notebook;156;IPS Panel 1366x768;Intel Core i5 8250U 1.6GHz;12;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2;69399
MSI;Leopard GP72M;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7;134900
Dell;Inspiron 5567;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;AMD Radeon R7 M445;Linux;2.33;77887
HP;15-BW004nv (A9-9420/4GB/256GB/Radeon;Ultrabook;156;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4;256GB SSD;AMD Radeon 520;Windows 10;1.91;49900
Lenovo;ThinkPad E580;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon RX 550;Windows 10;2.1;122956
Lenovo;ThinkPad L470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.9;93800
Dell;Precision M5520;Workstation;156;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;1.78;271200
Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;16;1TB SSD;Intel HD Graphics 620;Windows 10;1.13;262500
Lenovo;IdeaPad 320-15IAP;Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1TB HDD;Intel HD Graphics 500;Windows 10;2.2;30600
Asus;FX753VD-GC461T (i7-7700HQ/16GB/1TB;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.9;152900
Lenovo;ThinkPad E580;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD +  1TB HDD;AMD Radeon RX 550;Windows 10;2.1;114450
Acer;Aspire 7;Notebook;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Linux;2.5;87900
MSI;GE73VR 7RF;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8;224900
Asus;Zenbook 3;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1.10;187300
Toshiba;Portege Z30-C-16P;Ultrabook;133;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Intel HD Graphics 520;Windows 10;1.2;174700
Dell;Latitude 7480;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8;512GB SSD;Intel HD Graphics;Windows 10;1.36;168000
Lenovo;IdeaPad 320-15ISK;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;2.2;40900
Lenovo;Lenovo IdeaPad;Notebook;116;1366x768;Intel Celeron Dual Core N3350 1.1GHz;2;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.15;30445
Lenovo;ThinkPad P51;Workstation;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;512GB SSD;Nvidia Quadro M1200;Windows 10;2.67;192500
Lenovo;Thinkpad T470p;Ultrabook;14;IPS Panel Full HD 2560x1440;Intel Core i7 7700HQ 2.8GHz;8;512GB SSD;Nvidia GeForce GT 940MX;Windows 10;1.7;194300
HP;15-BS028nv (i3-6006U/4GB/1TB/Radeon;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;AMD Radeon 520;Windows 10;2.1;46900
Acer;Aspire R7;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1.6;78901
Asus;ZenBook Flip;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.27;92800
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;AMD Radeon R5 M430;Linux;2.3;59890
Dell;Latitude 3380;Notebook;133;1366x768;Intel Core i3 6006U 2GHz;4;128GB SSD;Intel HD Graphics 520;Windows 10;1.65;68900
HP;EliteBook 1040;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1.43;150000
Dell;Inspiron 3567;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Intel HD Graphics 620;Windows 10;2.14;53995
Lenovo;ThinkPad E480;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon RX 550;Windows 10;1.75;121538
Lenovo;Yoga 720-15IKB;2 in 1 Convertible;156;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2;189900
Chuwi;LapBook 12.3;Notebook;123;IPS Panel Retina Display 2736x1824;Intel Celeron Quad Core N3450 1.1GHz;6;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.4;44900
HP;ProBook 650;Notebook;156;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;8;256GB SSD;Intel HD Graphics 630;Windows 10;2.31;142700
Asus;X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce;Notebook;156;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8;1TB HDD;Nvidia GeForce 940MX;Linux;2.3;59700
Dell;Alienware 17;Gaming;173;IPS Panel 2560x1440;Intel Core i7 7820HK 2.9GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42;279900
Dell;Inspiron 7577;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.62;115900
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02;114240
Dell;Latitude 5480;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8;256GB SSD;Intel HD Graphics 620;Linux;1.6;109900
HP;Omen 17-w207nv;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.35;199900
Mediacom;FlexBook Edge;2 in 1 Convertible;116;IPS Panel Full HD / Touchscreen 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4;32GB SSD;Intel HD Graphics 500;Windows 10;1.16;29900
Samsung;Chromebook 3;Netbook;116;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.15;26900
Lenovo;Thinkpad 13;Notebook;133;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.4;101000
Lenovo;IdeaPad 320s-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10;1.7;59900
Lenovo;Thinkpad T570;Workstation;156;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7600U 2.8GHz;16;512GB SSD;Nvidia GeForce 940MX;Windows 10;2.3;244500
Lenovo;Thinkpad P51;Notebook;156;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;16;512GB SSD;Nvidia Quadro M2200M;Windows 10;2.5;244900
Asus;Rog Strix;Gaming;173;Full HD 1920x1080;AMD Ryzen 1600 3.2GHz;8;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2;169500
HP;15-ra044nv (N3060/4GB/500GB/W10);Notebook;156;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;500GB HDD;Intel HD Graphics 400;Windows 10;2.1;34700
Google;Pixelbook (Core;Ultrabook;123;Touchscreen 2400x1600;Intel Core i7 7Y75 1.3GHz;16;512GB SSD;Intel HD Graphics 615;Chrome OS;1.1;219900
Lenovo;ThinkPad T470s;Ultrabook;14;2560x1440;Intel Core i7 7500U 2.7GHz;24;512GB SSD;Intel HD Graphics 620;Windows 10;1.32;238200
Asus;VivoBook Max;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Linux;2;55900
Lenovo;IdeaPad 320-15AST;Notebook;173;1600x900;AMD A6-Series 9220 2.5GHz;8;1TB HDD;AMD Radeon R4;Windows 10;2.8;51900
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;256GB SSD;AMD Radeon 530;Windows 10;2.2;74900
Lenovo;ThinkPad X270;Ultrabook;125;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.36;142900
Lenovo;IdeaPad 320-15IAP;Notebook;156;Full HD 1920x1080;Intel Pentium Quad Core N4200 1.1GHz;4;128GB SSD;Intel HD Graphics 505;Windows 10;2.2;34900
HP;Omen 15-AX205na;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2;109900
Dell;Latitude 5480;Notebook;14;Full HD 1920x1080;Intel Core i5 7440HQ 2.8GHz;8;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64;117900
Acer;Aspire ES1-572;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;Linux;2.4;44180
Dell;Precision 3520;Workstation;156;Full HD 1920x1080;Intel Xeon E3-1505M V6 3GHz;8;64GB Flash Storage +  1TB HDD;Nvidia Quadro M620;Windows 10;2.23;199300
MSI;GV62 7RD-1686NL;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.2;102774
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel Core i7 7660U 2.5GHz;16;512GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.25;258900
HP;15-bs024nv (i5-7200U/8GB/128GB/W10);Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;8;128GB SSD;Intel HD Graphics 620;Windows 10;1.91;58900
Dell;Precision 3520;Workstation;156;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;16;256GB SSD;Nvidia Quadro M620;Windows 10;2.17;197500
HP;ProBook 650;Workstation;156;IPS Panel Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;2.31;153400
Lenovo;ThinkPad T470;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.65;134500
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.36;97900
Dell;Inspiron 3168;2 in 1 Convertible;116;Touchscreen 1366x768;Intel Pentium Quad Core N3710 1.6GHz;4;500GB HDD;Intel HD Graphics 405;Windows 10;1.47;47900
Dell;Alienware 17;Notebook;173;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.7GHz;8;1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.42;204600
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel Core M m3-7Y30 2.2GHz;4;128GB SSD;Intel HD Graphics 615;Windows 10 S;1.252;98900
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel Core i7 7660U 2.5GHz;8;256GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.25;179900
HP;17-BS092ND (i3-6006U/8GB/256GB/W10);Notebook;173;1600x900;Intel Core i3 6006U 2GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;2.5;63990
Acer;Aspire E5-576G;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;Nvidia GeForce 940MX;Windows 10;2.23;54400
Acer;TravelMate B;Netbook;116;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;128GB SSD;Intel HD Graphics 400;Windows 10;1.4;43500
Asus;Pro P2540UA-AB51;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Intel HD Graphics 620;Windows 10;2.37;74900
Lenovo;IdeaPad 510s-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;512GB SSD;AMD Radeon R7 M460;No OS;1.5;79900
Lenovo;Thinkpad P51;Notebook;156;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;8;256GB SSD;Nvidia Quadro M2200M;Windows 10;2.67;209000
Asus;X541NA-PD1003Y (N4200/4GB/500GB/W10);Notebook;156;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4;500GB HDD;Intel HD Graphics 500;Windows 10;2;30400
Acer;Aspire 5;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;500GB HDD;Nvidia GeForce GTX 940MX;Windows 10;2.2;46900
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;2TB HDD;AMD Radeon 530;Windows 10;2.02;75900
HP;Omen 17-an006nv;Gaming;173;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.78;169900
Lenovo;Thinkpad T460s;Ultrabook;14;IPS Panel Quad HD+ 2560x1440;Intel Core i7 6600U 2.6GHz;12;256GB SSD;Intel HD Graphics 520;Windows 10;1.4;185800
HP;Spectre x360;2 in 1 Convertible;133;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;8;512GB SSD;Intel UHD Graphics 620;Windows 10;1.29;199900
HP;ZBook 15u;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;500GB HDD;AMD FirePro W4190M ;Windows 10;1.9;115400
Google;Pixelbook (Core;Ultrabook;123;Touchscreen 2400x1600;Intel Core i5 7Y57 1.2GHz;8;128GB SSD;Intel HD Graphics 615;Chrome OS;1.1;127500
Dell;Latitude 7390;Ultrabook;133;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.42;184185
Asus;ZenBook Pro;Notebook;156;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 6700HQ 2.6GHz;12;128GB SSD +  1TB HDD;Intel HD Graphics 530;Windows 10;2.06;129900
Dell;Latitude E5470;Notebook;14;1366x768;Intel Core i3 6100U 2.3GHz;8;128GB SSD;Intel HD Graphics 520;Windows 10;1.79;74000
Dell;Precision M5520;Workstation;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;1.78;240800
